"","rasterMean","rasterMin","rasterMax"
"demersal.destructive.fishing.combo.dif",-0.00473105255847342,-0.631828188896179,0.436681091785431
"demersal.nondest.high.bycatch.combo.dif",-0.00452341791110915,-0.580913305282593,0.533357620239258
"demersal.nondest.low.bycatch.combo.dif",-0.00412670958865736,-0.268078923225403,0.215034991502762
"night.lights.combo.dif",-9.19645894088057e-07,-0.806365847587585,0.918332517147064
"oil.rigs.combo.dif",5.72701615136458e-06,-1.70000004768372,1.70000004768372
"pelagic.high.bycatch.combo.dif",-0.000827478320085994,-0.520458340644836,0.30720454454422
"pelagic.low.bycatch.combo.dif",-0.00294855523333386,-0.591946363449097,0.215396881103516
"plumes.fert.combo.dif",2.46497704410189e-05,-0.452056854963303,0.692154288291931
"plumes.pest.combo.dif",8.68957210500501e-06,-0.269267678260803,0.342242360115051
"population.combo.dif",1.30488563130215e-05,-1.62701416015625,1.3573602437973
"sst.combo.dif",0.29812961598031,-2.5853853225708,2.58729004859924
"uv.combo.dif",0.00236025671053832,-1.11256718635559,1.1140730381012
